Nome da Empresa;Origem;Sub-Origem;Mercado;Produto;Site;País;Estado;Cidade;Logradouro;Numero;Bairro;Complemento;CEP;Telefone;Telefone 2;Observação;Nome Contato;E-mail Contato;Cargo Contato;Tel. Contato;Tel. 2 Contato;LinkedIn Contato;Tipo do Serv. Comunicação;ID do Serv. Comunicação;CpfCnpj;Duplicado
Bracell Bahia Florestal Ltda;;;; Madeira de eucalipto em toras para fabricação de celulose soluvel ;SITE;BRASIL;BAHIA;Alagoinhas;LOGRADOURO;NUMERO;BAIRRO;COMPLEMENTO;CEP;(75) 3423-9900 /  /  ;OBservação;Nome Contato;E-mail Contato;Cargo Contato;Tel. Contato;Tel. 2 Contato
Jose Eduardo Santana Rios & Cia Ltda;;;; Carvao  Extracao de madeira em tora ;SITE;BRASIL;BAHIA;Ouricangas;LOGRADOURO;NUMERO;BAIRRO;COMPLEMENTO;CEP;(75) 3447-2130 /  /  ;OBservação;Nome Contato;E-mail Contato;Cargo Contato;Tel. Contato;Tel. 2 Contato
Bracell Bahia Florestal Ltda;;;; Madeira de eucalipto em toras para fabricação de celulose soluvel ;SITE;BRASIL;BAHIA;Alagoinhas;LOGRADOURO;NUMERO;BAIRRO;COMPLEMENTO;CEP;(75) 3423-9900 /  /  ;OBservação;Nome Contato;E-mail Contato;Cargo Contato;Tel. Contato;Tel. 2 Contato
Jose Eduardo Santana Rios & Cia Ltda;;;; Carvao  Extracao de madeira em tora ;SITE;BRASIL;BAHIA;Ouricangas;LOGRADOURO;NUMERO;BAIRRO;COMPLEMENTO;CEP;(75) 3447-2130 /  /  ;OBservação;Nome Contato;E-mail Contato;Cargo Contato;Tel. Contato;Tel. 2 Contato
Alianca Extracao de Areia Eireli;;;; Extracao de areia ;SITE;BRASIL;BAHIA;Ilheus;LOGRADOURO;NUMERO;BAIRRO;COMPLEMENTO;CEP;(73) 99186-7449 / (73) 99156-4640 /  ;OBservação;Nome Contato;E-mail Contato;Cargo Contato;Tel. Contato;Tel. 2 Contato
Alvopetro S/A Extracao de Petroleo e Gas Natural;;;; Extracao de petroleo ;SITE;BRASIL;BAHIA;Vera Cruz;LOGRADOURO;NUMERO;BAIRRO;COMPLEMENTO;CEP;(71) 3432-0917 / (31) 3227-0300 /  ;OBservação;Nome Contato;E-mail Contato;Cargo Contato;Tel. Contato;Tel. 2 Contato
Amagran Importacao e Exportacao Ltda;;;; Extracao de marmore e granito  Transporte rodoviario de cargas ;SITE;BRASIL;BAHIA;Itarantim;LOGRADOURO;NUMERO;BAIRRO;COMPLEMENTO;CEP;(73) 3283-1218 / (27) 3062-5681 / (27) 3317-0351 ;OBservação;Nome Contato;E-mail Contato;Cargo Contato;Tel. Contato;Tel. 2 Contato
Amagran Importacao e Exportacao Ltda;;;; Extracao de marmore e granito  Transporte rodoviario de cargas ;SITE;BRASIL;BAHIA;Potiragua;LOGRADOURO;NUMERO;BAIRRO;COMPLEMENTO;CEP;(73) 3283-1218 / (27) 3317-0351 /  ;OBservação;Nome Contato;E-mail Contato;Cargo Contato;Tel. Contato;Tel. 2 Contato
Antolini, Exportacao, Importacao e Mineracao Ltda;;;; Extracao de granito  Extracao de marmore  Extracao de quartzito ;SITE;BRASIL;BAHIA;Piata;LOGRADOURO;NUMERO;BAIRRO;COMPLEMENTO;CEP;(27) 2121-0556 / (27) 2121-0558 /  ;OBservação;Nome Contato;E-mail Contato;Cargo Contato;Tel. Contato;Tel. 2 Contato
Aratu Mineracao Construcao Ltda;;;; Brita 1  Brita 2  Brita 3  Brita 3/8  Brita 5/8  Brita graduada  Expurgo  Matacao  Pedra marroada  Po-de-pedra ;SITE;BRASIL;BAHIA;Salvador;LOGRADOURO;NUMERO;BAIRRO;COMPLEMENTO;CEP;(71) 2104-2333 / (71) 2104-2300 / (71) 2104-2301 ;OBservação;Nome Contato;E-mail Contato;Cargo Contato;Tel. Contato;Tel. 2 Contato
Araujo Transportes Eireli;;;; Extracao de brita, cascalho e pedregulho ;SITE;BRASIL;BAHIA;Retirolandia;LOGRADOURO;NUMERO;BAIRRO;COMPLEMENTO;CEP;(75) 99975-2133 /  /  ;OBservação;Nome Contato;E-mail Contato;Cargo Contato;Tel. Contato;Tel. 2 Contato
Areal H F Ltda;;;; Areia  Cascalho  Extracao de areia ;SITE;BRASIL;BAHIA;Vitoria da Conquista;LOGRADOURO;NUMERO;BAIRRO;COMPLEMENTO;CEP;(77) 99991-5585 / (77) 98859-5568 /  ;OBservação;Nome Contato;E-mail Contato;Cargo Contato;Tel. Contato;Tel. 2 Contato
Areal Nordestina Ltda;;;; Extracao de areia ;SITE;BRASIL;BAHIA;Porto Seguro;LOGRADOURO;NUMERO;BAIRRO;COMPLEMENTO;CEP;(73) 3270-2093 / (73) 99933-2523 /  ;OBservação;Nome Contato;E-mail Contato;Cargo Contato;Tel. Contato;Tel. 2 Contato
Armando Jose de Oliveira;;;; Barita ;SITE;BRASIL;BAHIA;Rio do Pires;LOGRADOURO;NUMERO;BAIRRO;COMPLEMENTO;CEP;(77) 3693-2416 / (77) 99115-2906 /  ;OBservação;Nome Contato;E-mail Contato;Cargo Contato;Tel. Contato;Tel. 2 Contato
ARS Comercio de Marmores e Granitos Ltda;;;; Placa de marmore ;SITE;BRASIL;BAHIA;Capim Grosso;LOGRADOURO;NUMERO;BAIRRO;COMPLEMENTO;CEP;(74) 3651-0352 / (74) 3622-4225 / (74) 99190-1354 ;OBservação;Nome Contato;E-mail Contato;Cargo Contato;Tel. Contato;Tel. 2 Contato
Assis Polimarmore Ltda;;;; Granito  Marmore ;SITE;BRASIL;BAHIA;Ourolandia;LOGRADOURO;NUMERO;BAIRRO;COMPLEMENTO;CEP;(74) 98138-2564 /  /  ;OBservação;Nome Contato;E-mail Contato;Cargo Contato;Tel. Contato;Tel. 2 Contato
ASX Mineradora Ltda;;;; Extracao de granito  Extracao de manganes  Extracao de cobre ;SITE;BRASIL;BAHIA;Potiragua;LOGRADOURO;NUMERO;BAIRRO;COMPLEMENTO;CEP;(71) 98825-2491 / (71) 98869-0000 / (71) 3166-6161 ;OBservação;Nome Contato;E-mail Contato;Cargo Contato;Tel. Contato;Tel. 2 Contato
Atlantic Nickel Mineracao Ltda;;;; Concentrado de niquel ;SITE;BRASIL;BAHIA;Itagiba;LOGRADOURO;NUMERO;BAIRRO;COMPLEMENTO;CEP;(73) 3313-1470 / (73) 3313-1364 / (73) 3313-1424 ;OBservação;Nome Contato;E-mail Contato;Cargo Contato;Tel. Contato;Tel. 2 Contato
Bahia Brita Business Brasil Mineracao Imp e Exp Ltda;;;; Areia  Extracao de brita  Extracao de granito  Extracao de manganes ;SITE;BRASIL;BAHIA;Itabuna;LOGRADOURO;NUMERO;BAIRRO;COMPLEMENTO;CEP;(73) 99981-0606 /  /  ;OBservação;Nome Contato;E-mail Contato;Cargo Contato;Tel. Contato;Tel. 2 Contato
Bahia Mineracao S/A;;;; Extracao de minerio de ferro ;SITE;BRASIL;BAHIA;Caetite;LOGRADOURO;NUMERO;BAIRRO;COMPLEMENTO;CEP;(71) 3507-0000 / (77) 3454-8500 / (77) 3454-8551 ;OBservação;Nome Contato;E-mail Contato;Cargo Contato;Tel. Contato;Tel. 2 Contato
Baimin Granitos Ltda;;;; Granito  Marmore ;SITE;BRASIL;BAHIA;Jitauna;LOGRADOURO;NUMERO;BAIRRO;COMPLEMENTO;CEP;(27) 99944-7185 /  /  ;OBservação;Nome Contato;E-mail Contato;Cargo Contato;Tel. Contato;Tel. 2 Contato
Base Mineracao Ltda;;;; Areia lavada ;SITE;BRASIL;BAHIA;Vitoria da Conquista;LOGRADOURO;NUMERO;BAIRRO;COMPLEMENTO;CEP;(77) 3422-9029 / (77) 99119-0431 /  ;OBservação;Nome Contato;E-mail Contato;Cargo Contato;Tel. Contato;Tel. 2 Contato
Bege Bahia Marmore Ltda;;;; Extracao de marmore ;SITE;BRASIL;BAHIA;Ourolandia;LOGRADOURO;NUMERO;BAIRRO;COMPLEMENTO;CEP;(74) 98137-5312 / (74) 98137-5702 /  ;OBservação;Nome Contato;E-mail Contato;Cargo Contato;Tel. Contato;Tel. 2 Contato
Bege Bahia Marmore Ltda;;;; Bloco  Ladrilho  Marmore em chapa ;SITE;BRASIL;BAHIA;Ourolandia;LOGRADOURO;NUMERO;BAIRRO;COMPLEMENTO;CEP;(74) 3621-3352 / (74) 98137-5702 /  ;OBservação;Nome Contato;E-mail Contato;Cargo Contato;Tel. Contato;Tel. 2 Contato
Benapro Beneficiamento e Aparelhamento de Marmore Ltda;;;; Mesa  Pia  Piso  Soleira ;SITE;BRASIL;BAHIA;Ourolandia;LOGRADOURO;NUMERO;BAIRRO;COMPLEMENTO;CEP;(11) 98115-3322 / (74) 98113-3013 /  ;OBservação;Nome Contato;E-mail Contato;Cargo Contato;Tel. Contato;Tel. 2 Contato
Bertek Produtos, Servicos e Mineracao Ltda;;;; Extracao e beneficiamento de barita ;SITE;BRASIL;BAHIA;Pirai do Norte;LOGRADOURO;NUMERO;BAIRRO;COMPLEMENTO;CEP;(27) 2121-5628 /  /  ;OBservação;Nome Contato;E-mail Contato;Cargo Contato;Tel. Contato;Tel. 2 Contato
Blenda Mineracao Ltda;;;; Extracao de manganes ;SITE;BRASIL;BAHIA;Coribe;LOGRADOURO;NUMERO;BAIRRO;COMPLEMENTO;CEP;(71) 3594-2212 /  /  ;OBservação;Nome Contato;E-mail Contato;Cargo Contato;Tel. Contato;Tel. 2 Contato
